NAME,H INDEX,IMPACT FACTOR
Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition,240,6.178921307468842
CBMS-NSF Regional Conference Series in Applied Mathematics,2,1.3043791759231786
Proceedings of the IEEE International Conference on Computer Vision,172,4.7861949841700815
"Proceedings - 2016 43rd International Symposium on Computer Architecture, ISCA 2016",11,1.4887106010656617
2015 IEEE Radar Conference - Proceedings,1,1.2838979064629026
"IEEE Symposium on VLSI Circuits, Digest of Technical Papers",7,1.406785523224558
Proceedings - IEEE Symposium on Security and Privacy,91,3.127212157887733
Proceedings - International Symposium on Computer Architecture,98,3.2705810441096643
Proceedings of the Annual ACM Symposium on Theory of Computing,83,2.9633620022055265
"2015 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2015 - Proceedings",13,1.5296731399862133
"2015 IEEE 21st International Symposium on High Performance Computer Architecture, HPCA 2015",19,1.6525607567478688
BMVC 2014 - Proceedings of the British Machine Vision Conference 2014,17,1.611598217827317
Proceedings of the ACM SIGMOD International Conference on Management of Data,135,4.028388014139873
MM 2014 - Proceedings of the 2014 ACM Conference on Multimedia,20,1.6730420262081447
"Proceedings of HPTCDL 2014: 1st Workshop for High Performance Technical Computing in Dynamic Languages - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",4,1.3453417148437303
"31st International Conference on Machine Learning, ICML 2014",22,1.7140045651286964
"Proceedings of the 9th European Conference on Computer Systems, EuroSys 2014",14,1.5501544094464892
"AllThingsCellular 2014 - Proceedings of the 4th ACM Workshop on All Things Cellular: Operations, Applications, and Challenges",6,1.386304253764282
"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",69,2.6766242297616634
"33rd International Conference on Machine Learning, ICML 2016",26,1.7959296429698002
Proceedings of the VLDB Endowment,95,3.209137235728837
"Proceedings - 2016 IEEE European Symposium on Security and Privacy, EURO S and P 2016",9,1.4477480621451098
WWW 2014 - Proceedings of the 23rd International Conference on World Wide Web,24,1.7549671040492483
Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,72,2.738068038142491
"Proceedings of the 5th ACM Symposium on Cloud Computing, SOCC 2014",12,1.5091918705259375
"Proceedings of the 4th Workshop on Data analytics at sCale, DanaC 2015 - in conjunction with ACM SIGMOD/PODS Conference 2015",2,1.3043791759231786
Proceedings - International Symposium on High-Performance Computer Architecture,67,2.635661690841112
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,139,4.110313091980976
"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, Proceedings of the Conference - Short Papers",1,1.2838979064629026
"Optical Fiber Communication Conference, OFC 2015",1,1.2838979064629026
"Proceedings of the Annual International Symposium on Microarchitecture, MICRO",95,3.209137235728837
"Future of Software Engineering, FOSE 2014 - Proceedings",12,1.5091918705259375
"33rd International Conference on Machine Learning, ICML 2016",20,1.6730420262081447
"2015 IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2015",1,1.2838979064629026
"Proceedings of DataCloud 2014: 5th International Workshop on Data Intensive Computing in the Clouds - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",2,1.3043791759231786
Near Surface Geoscience 2015 - 21st European Meeting of Environmental and Engineering Geophysics,4,1.3453417148437303
International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,73,2.758549307602767
EC 2014 - Proceedings of the 15th ACM Conference on Economics and Computation,12,1.5091918705259375
ITiCSE-WGP 2015 - Proceedings of the 2015 ITiCSE Conference on Working Group Reports,4,1.3453417148437303
Proceedings - IEEE International Conference on Robotics and Automation,143,4.19223816982208
Bolyai Society Mathematical Studies,8,1.427266792684834
CACS 2015 - 2015 CACS International Automatic Control Conference,2,1.3043791759231786
"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",132,3.966944205759045
Proceedings of the ACM Conference on Computer and Communications Security,131,3.9464629362987695
"20th Pacific Symposium on Biocomputing, PSB 2015",8,1.427266792684834
Proceedings of the Annual IEEE Conference on Computational Complexity,34,1.9597797986520074
Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,81,2.9223994632849744
"Proceedings of the 10th European Conference on Computer Systems, EuroSys 2015",11,1.4887106010656617
"Proceedings of the 2014 1st International Conference on 5G for Ubiquitous Connectivity, 5GU 2014",3,1.3248604453834545
Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,21,1.6935232956684205
"EMNLP 2014 - 2014 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",25,1.7754483735095241
Proceedings - IEEE INFOCOM,201,5.3801517985180825
Abel Symposia,3,1.3248604453834545
IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,53,2.348923918397249
"2015 Information Theory and Applications Workshop, ITA 2015 - Conference Proceedings",7,1.406785523224558
"12th Workshop on Analytic Algorithmics and Combinatorics 2015, ANALCO 2015",3,1.3248604453834545
HotSDN 2014 - Proceedings of the ACM SIGCOMM 2014 Workshop on Hot Topics in Software Defined Networking,17,1.611598217827317
"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2016",1,1.2838979064629026
CoNEXT 2014 - Proceedings of the 2014 Conference on Emerging Networking Experiments and Technologies,13,1.5296731399862133
IEEE-RAS International Conference on Humanoid Robots,22,1.7140045651286964
Conference Record of the Annual ACM Symposium on Principles of Programming Languages,77,2.840474385443871
ITCS 2015 - Proceedings of the 6th Innovations in Theoretical Computer Science,8,1.427266792684834
"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC",75,2.799511846523319
"Proceedings of the 8th International Conference on Weblogs and Social Media, ICWSM 2014",18,1.632079487287593
SIGCOMM 2014 - Proceedings of the 2014 ACM Conference on Special Interest Group on Data Communication,24,1.7549671040492483
WWW 2015 - Proceedings of the 24th International Conference on World Wide Web,18,1.632079487287593
"International Conference for High Performance Computing, Networking, Storage and Analysis, SC",32,1.9188172597314554
FPGA 2015 - 2015 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,8,1.427266792684834
"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014",10,1.4682293316053858
Proceedings - Symposium on Logic in Computer Science,56,2.4103677267780768
"Proceedings of Co-HPC 2014: 1st International Workshop on Hardware-Software Co-Design for High Performance Computing - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1,1.2838979064629026
ITCS 2014 - Proceedings of the 2014 Conference on Innovations in Theoretical Computer Science,11,1.4887106010656617
IEEE Symposium on Mass Storage Systems and Technologies,19,1.6525607567478688
"Proceedings - 2014 Workshop on Fault Diagnosis and Tolerance in Cryptography, FDTC 2014",6,1.386304253764282
"AVEC 2014 - Proceedings of the 4th International Workshop on Audio/Visual Emotion Challenge, Workshop of MM 2014",10,1.4682293316053858
IEEE International Conference on Intelligent Robots and Systems,90,3.1067308884274576
"HotMiddlebox 2015 - Proceedings of the 2015 ACM SIGCOMM Workshop on Hot Topics in Middleboxes and Network Function Virtualization, Part of SIGCOMM 2015",7,1.406785523224558
SCA 2014 - Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation,9,1.4477480621451098
MM 2015 - Proceedings of the 2015 ACM Multimedia Conference,16,1.591116948367041
"2014 IEEE Workshop on Spoken Language Technology, SLT 2014 - Proceedings",5,1.3658229843040062
FPGA 2016 - Proceedings of the 2016 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,6,1.386304253764282
"AVEC 2016 - Proceedings of the 6th International Workshop on Audio/Visual Emotion Challenge, co-located with ACM Multimedia 2016",6,1.386304253764282
ACM SoCC 2015 - Proceedings of the 6th ACM Symposium on Cloud Computing,10,1.4682293316053858
WSDM 2015 - Proceedings of the 8th ACM International Conference on Web Search and Data Mining,15,1.5706356789067653
WSDM 2014 - Proceedings of the 7th ACM International Conference on Web Search and Data Mining,19,1.6525607567478688
L@S 2014 - Proceedings of the 1st ACM Conference on Learning at Scale,13,1.5296731399862133
"Pacific Symposium on Biocomputing 2016, PSB 2016",5,1.3658229843040062
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),93,3.1681746968082853
"2014 IEEE Workshop on Spoken Language Technology, SLT 2014 - Proceedings",13,1.5296731399862133
HSCC 2014 - Proceedings of the 17th International Conference on Hybrid Systems: Computation and Control (Part of CPS Week),10,1.4682293316053858
"MADiMa 2016 - Proceedings of the 2nd International Workshop on Multimedia Assisted Dietary Management, co-located with ACM Multimedia 2016",4,1.3453417148437303
Proceedings - International Conference on Data Engineering,123,3.782612780616562
"22nd European Meeting of Environmental and Engineering Geophysics, Near Surface Geoscience 2016",2,1.3043791759231786
"1st International Workshop on Rapid Continuous Software Engineering, RCoSE 2014 - Proceedings",4,1.3453417148437303
"Proceedings - 3rd International Workshop on Building Analysis Datasets and Gathering Experience Returns for Security, BADGERS 2014",3,1.3248604453834545
European Solid-State Circuits Conference,31,1.8983359902711796
Society of Petroleum Engineers - SPE Reservoir Simulation Symposium 2015,6,1.386304253764282
Proceedings - Design Automation Conference,105,3.4139499303315963
"WODA+PERTEA 2014: Joint 12th International Workshop on Dynamic Analysis and Workshop on Software and System Performance Testing, Debugging, and Analytics - Proceedings",1,1.2838979064629026
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,62,2.5332553435397323
"MobiSys 2014 - Proceedings of the 12th Annual International Conference on Mobile Systems, Applications, and Services",16,1.591116948367041
"Proceedings of the Joint Meeting of the 23rd EACSL Annual Conference on Computer Science Logic, CSL 2014 and the 29th Annual ACM/IEEE Symposium on Logic in Computer Science, LICS 2014",10,1.4682293316053858
Proceedings of the National Conference on Artificial Intelligence,98,3.2705810441096643
Proceedings - International Conference on Distributed Computing Systems,74,2.7790305770630432
UbiComp 2014 - Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,20,1.6730420262081447
"Proceedings of the 2014 IEEE International Symposium on Hardware-Oriented Security and Trust, HOST 2014",12,1.5091918705259375
HPDC 2014 - Proceedings of the 23rd International Symposium on High-Performance Parallel and Distributed Computing,11,1.4887106010656617
"Proceedings of the 17th International Symposium on Principles and Practice of Declarative Programming, PPDP 2015",5,1.3658229843040062
"2014 13th Annual Mediterranean Ad Hoc Networking Workshop, MED-HOC-NET 2014",7,1.406785523224558
PASC 2016 - Proceedings of the Platform for Advanced Scientific Computing Conference,2,1.3043791759231786
SIGIR 2014 - Proceedings of the 37th International ACM SIGIR Conference on Research and Development in Information Retrieval,24,1.7549671040492483
"33rd International Conference on Machine Learning, ICML 2016",7,1.406785523224558
"CPSS 2015 - Proceedings of the 1st ACM Workshop on Cyber-Physical System Security, Part of ASIACCS 2015",6,1.386304253764282
"ASIA CCS 2014 - Proceedings of the 9th ACM Symposium on Information, Computer and Communications Security",14,1.5501544094464892
"2016 Optical Fiber Communications Conference and Exhibition, OFC 2016",12,1.5091918705259375
"2015 International Symposium on Network Coding, NetCod 2015",4,1.3453417148437303
ISPASS 2014 - IEEE International Symposium on Performance Analysis of Systems and Software,11,1.4887106010656617
Proceedings of the International Conference on Artificial Intelligence and Law,28,1.8368921818903519
"SIMULTECH 2014 - Proceedings of the 4th International Conference on Simulation and Modeling Methodologies, Technologies and Applications",2,1.3043791759231786
"Proceedings of the 2015 IEEE International Symposium on Hardware-Oriented Security and Trust, HOST 2015",7,1.406785523224558
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,12,1.5091918705259375
IJCAI International Joint Conference on Artificial Intelligence,102,3.3525061219507686
"2015 IEEE Electric Ship Technologies Symposium, ESTS 2015",8,1.427266792684834
"30th AAAI Conference on Artificial Intelligence, AAAI 2016",19,1.6525607567478688
"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",49,2.2669988405561456
Proceedings of the International Symposium on Mobile Ad Hoc Networking and Computing (MobiHoc),90,3.1067308884274576
RecSys 2014 - Proceedings of the 8th ACM Conference on Recommender Systems,17,1.611598217827317
IEEE International Symposium on Information Theory - Proceedings,71,2.7175867686822155
ITCS 2016 - Proceedings of the 2016 ACM Conference on Innovations in Theoretical Computer Science,6,1.386304253764282
ICN 2014 - Proceedings of the 1st International Conference on Information-Centric Networking,12,1.5091918705259375
"MobiSys 2015 - Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",16,1.591116948367041
"9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2014 - Proceedings",10,1.4682293316053858
"Proceedings - 2015 IEEE Winter Conference on Applications of Computer Vision, WACV 2015",13,1.5296731399862133
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,5,1.3658229843040062
"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",47,2.226036301635594
WWW 2015 - Proceedings of the 24th International Conference on World Wide Web,1,1.2838979064629026
"2015 IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2015",10,1.4682293316053858
"2015 IEEE 16th Workshop on Control and Modeling for Power Electronics, COMPEL 2015",8,1.427266792684834
"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014",5,1.3658229843040062
Annual ACM Symposium on Parallelism in Algorithms and Architectures,38,2.0417048764931107
DBPL 2015 - Proceedings of the 15th Symposium on Database Programming Languages,3,1.3248604453834545
"Proceedings - 2014 IEEE Asian Solid-State Circuits Conference, A-SSCC 2014",6,1.386304253764282
"14th International Conference on the Principles of Knowledge Representation and Reasoning, KR 2014",12,1.5091918705259375
IISWC 2014 - IEEE International Symposium on Workload Characterization,10,1.4682293316053858
Operating Systems Review (ACM),90,3.1067308884274576
"Principles of Knowledge Representation and Reasoning: Proceedings of the 15th International Conference, KR 2016",7,1.406785523224558
"PEPM 2015 - Proceedings of the 2015 ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, co-located with POPL 2015",4,1.3453417148437303
"MCS 2015 - Proceedings of the 6th International Workshop on Mobile Cloud Computing and Services, co-located with MobiCom 2015",3,1.3248604453834545
ACM/IEEE International Conference on Human-Robot Interaction,21,1.6935232956684205
"ASIACCS 2015 - Proceedings of the 10th ACM Symposium on Information, Computer and Communications Security",12,1.5091918705259375
"2016 IEEE 32nd International Conference on Data Engineering, ICDE 2016",9,1.4477480621451098
"Proceedings - 2014 3rd European Workshop on Software-Defined Networks, EWSDN 2014",11,1.4887106010656617
"2014 IEEE International Conference on Smart Grid Communications, SmartGridComm 2014",12,1.5091918705259375
"MMCommons 2015 - Proceedings of the 2015 Workshop on Community-Organized Multimodal Mining: Opportunities for Novel Solutions, co-located with ACM MM 2015",3,1.3248604453834545
"2014 Formal Methods in Computer-Aided Design, FMCAD 2014",7,1.406785523224558
"2014 IEEE Globecom Workshops, GC Wkshps 2014",17,1.611598217827317
"2015 IEEE International Conference on Computational Photography, ICCP 2015 - Proceedings",6,1.386304253764282
CIKM 2014 - Proceedings of the 2014 ACM International Conference on Information and Knowledge Management,20,1.6730420262081447
EC 2015 - Proceedings of the 2015 ACM Conference on Economics and Computation,7,1.406785523224558
"IS'2012 - 2012 6th IEEE International Conference Intelligent Systems, Proceedings",6,1.386304253764282
Proceedings of the Computer Security Foundations Workshop,55,2.389886457317801
ICMR 2014 - Proceedings of the ACM International Conference on Multimedia Retrieval 2014,13,1.5296731399862133
SIGCOMM 2016 - Proceedings of the 2016 ACM Conference on Special Interest Group on Data Communication,13,1.5296731399862133
THERMINIC 2015 - 21st International Workshop on Thermal Investigations of ICs and Systems,3,1.3248604453834545
Proceedings - SCA 2015: 14th ACM SIGGRAPH / Eurographics Symposium on Computer Animation,6,1.386304253764282
"2015 IEEE International Symposium on Dynamic Spectrum Access Networks, DySPAN 2015",6,1.386304253764282
"2014 IEEE Winter Conference on Applications of Computer Vision, WACV 2014",15,1.5706356789067653
"AllThingsCellular 2015 - Proceedings of the 5th Workshop on All Things Cellular: Operations, Applications and Challenges, Part of SIGCOMM 2015",5,1.3658229843040062
CSWS 2014 - Proceedings of the ACM SIGCOMM 2014 Workshop on Capacity Sharing Workshop,4,1.3453417148437303
"22nd International Congress on Sound and Vibration, ICSV 2015",1,1.2838979064629026
"AGERE 2015 - Proceedings of the 5th International Workshop on Programming Based on Actors, Agents,and Decentralized Control",2,1.3043791759231786
"2014 IEEE Globecom Workshops, GC Wkshps 2014",9,1.4477480621451098
"2nd IEEE Workshop on Wide Bandgap Power Devices and Applications, WiPDA 2014",9,1.4477480621451098
"2014 IEEE International Conference on Communications Workshops, ICC 2014",15,1.5706356789067653
WSDM 2016 - Proceedings of the 9th ACM International Conference on Web Search and Data Mining,10,1.4682293316053858
"VISIGRAPP 2016 - Proceedings of the 11th Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications - Doctoral Consortium",1,1.2838979064629026
"10th International Workshop on Data Management on New Hardware, DaMoN 2014 - In Conjunction with the ACM SIGMOD/PODS Conference",5,1.3658229843040062
"2015 European Conference on Mobile Robots, ECMR 2015 - Proceedings",5,1.3658229843040062
SenSys 2015 - Proceedings of the 13th ACM Conference on Embedded Networked Sensor Systems,13,1.5296731399862133
"Proceedings of the 18th International Conference on Hybrid Systems: Computation and Control, HSCC 2015",8,1.427266792684834
"Proceedings International Conference on Automated Planning and Scheduling, ICAPS",13,1.5296731399862133
"Proceedings of WORKS 2014: The 9th Workshop on Workflows in Support of Large-Scale Science - held in conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1,1.2838979064629026
"2015 IEEE Energy Conversion Congress and Exposition, ECCE 2015",13,1.5296731399862133
"Uncertainty in Artificial Intelligence - Proceedings of the 30th Conference, UAI 2014",10,1.4682293316053858
"CPP 2016 - Proceedings of the 5th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2016",4,1.3453417148437303
Proceedings - Euromicro Conference on Real-Time Systems,49,2.2669988405561456
"2014 IEEE World Forum on Internet of Things, WF-IoT 2014",17,1.611598217827317
"Proceedings - 2015 IEEE International Symposium on Predictive Control of Electrical Drives and Power Electronics, PRECEDE 2015",5,1.3658229843040062
"12th IEEE International Symposium on Safety, Security and Rescue Robotics, SSRR 2014 - Symposium Proceedings",1,1.2838979064629026
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",119,3.7006877027754586
"Proceedings of the 17th International Conference on Advanced Robotics, ICAR 2015",6,1.386304253764282
"2014 52nd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2014",6,1.386304253764282
"2015 14th International Conference on ITS Telecommunications, ITST 2015",2,1.3043791759231786
"Proceedings of 2015 International Conference on Biometrics, ICB 2015",9,1.4477480621451098
